"From tau charge, integral, with mT cut"
Data_hist,164168.0
ZTT,37129.193359375
ZLL,2175.2569580078125
Fake,119442.33203125
TT,2279.3870849609375
ggh,1602.2194213867188
mc sum,160453.13189697266
"From tau charge, integral, with mT cut"
Data_hist,164168.0
ZTT,37129.193359375
ZLL,2175.2569580078125
Fake,119442.33203125
TT,2279.3870849609375
ggh,1602.2194213867188
mc sum,160453.13189697266
From Cutflow bin 7
Data_hist,164168.0
total MC,160453.15380859375
ZTT,37129.1953125
ZLL,2175.2568359375
Fake,119442.3515625
TT,2279.386962890625
ggh,1602.219970703125
